,time,yaw,pitch,yaw_velocity,pitch_velocity,yaw_duty_cycle,pitch_duty_cycle
0,0.0,-0.125,0.3125,0.5,0.0625,0.0,0.0
1,0.1,-0.125,0.375,0.0625,-0.0625,0.0,0.0
2,0.2,-0.125,0.375,0.1875,0.125,0.0,0.0
3,0.3,-0.125,0.375,-0.0625,-0.4375,0.0,0.0
4,0.4,-0.125,0.375,-0.0,0.5625,0.0,0.0
5,0.5,-0.125,0.375,0.0625,0.3125,0.0,0.0
6,0.6,-0.125,0.4375,-0.3125,0.0625,0.0,0.0
7,0.7,2.6875,2.8125,51.1875,47.75,1.0,1.0
8,0.8,9.0625,8.375,50.0,50.0,1.0,0.9415625
9,0.9,15.5,13.5625,54.5625,45.5,1.0,0.4573958
10,1.0,21.3125,17.0,53.0625,22.875,1.0,-0.07619793
11,1.1,27.125,16.375,42.5,-27.8125,0.6373698,-0.5021355
12,1.2,31.375,11.9375,22.375,-39.4375,-0.0477865,-0.5457813
13,1.3,30.625,7.75,-28.8125,-30.4375,-0.6386719,-0.1696875
14,1.4,25.8125,6.8125,-43.0,1.625,-0.7186199,0.2514584
15,1.5,21.0,9.0,-33.25,21.0625,-0.3221355,0.3878646
16,1.6,18.75,11.875,-4.375,19.875,0.1445312,0.2031771
17,1.7,19.625,13.1875,17.375,1.0625,0.3877604,-0.09171876
18,1.8,22.3125,12.875,23.4375,-8.375,0.3057292,-0.2625
19,1.9,24.5,11.1875,9.9375,-16.625,0.003255185,-0.279375
20,2.0,24.1875,9.5,-10.0625,-10.0,-0.2811198,-0.1434896
21,2.1,22.4375,9.1875,-18.375,-0.0,-0.3109375,0.02078125
22,2.2,20.5,9.5,-12.75,0.375,-0.1714844,0.06229167
23,2.3,19.6875,9.8125,0.125,-0.25,0.01497392,0.0415625
24,2.4,19.6875,9.8125,0.125,-0.125,0.1007812,0.0
25,2.5,19.6875,9.875,-0.0625,-0.0,0.0,0.0
26,2.6,19.6875,9.875,-0.0625,-0.0,0.0,0.0
27,2.7,19.6875,9.9375,-0.1875,-0.0,0.0,0.0
28,2.8,19.6875,9.9375,-0.0,-0.0,0.0,0.0
29,2.9,19.6875,9.9375,0.25,0.125,0.0,0.0
30,3.0,19.6875,10.0,-0.0,-0.0625,0.0,0.0
31,3.1,19.6875,10.0,-0.0625,-0.0625,0.0,0.0
32,3.2,19.6875,10.0625,0.0625,-0.0625,0.0,0.0
33,3.3,19.6875,10.0625,0.375,-0.125,0.0,0.0
34,3.4,19.6875,10.0625,0.0625,0.0625,0.0,0.0
35,3.5,19.6875,10.125,-0.0625,0.125,0.0,0.0
36,3.6,19.6875,10.125,-0.125,-0.0,0.0,0.0
37,3.7,19.6875,10.125,-0.25,-0.0625,0.0,0.0
38,3.8,19.6875,10.125,-0.125,-0.125,0.0,0.0
39,3.9,19.6875,10.125,-0.0625,0.0625,0.0,0.0
40,4.0,19.6875,10.1875,0.125,-0.0,0.0,0.0
41,4.1,19.6875,10.1875,0.125,0.125,0.0,0.0
42,4.2,19.6875,10.1875,0.125,-0.0625,0.0,0.0
43,4.3,19.6875,10.1875,0.0625,-0.0,0.0,0.0
44,4.4,19.6875,10.1875,-0.0,-0.0625,0.0,0.0
45,4.5,19.6875,10.1875,0.125,-0.25,0.0,0.0
46,4.6,19.6875,10.1875,-0.0,-0.125,0.0,0.0
47,4.7,19.6875,10.1875,-0.125,-0.0,0.0,0.0
48,4.8,19.6875,10.1875,0.0625,-0.0,0.0,0.0
49,4.9,19.6875,10.1875,-0.0,-0.125,0.0,0.0
50,5.0,19.6875,10.1875,0.125,-0.0,0.0,0.0
